"","Date","Year","Month","Day","Total_Rain","Total_Snow","Total_Precip","outbreak","Salinity","Temperature","PAR","WSPD","GSPD","V_east","V_north","WDIR"
"1",2003-01-01,"2003","1",1,44.17,0,44.17,0,27.95,7.4,1.13012753501339,11.83,14.5,10.91,-4,110.13
"2",2003-01-02,"2003","1",2,28.2,0,28.2,0,26.07,8.33,5.79471533886696,11.33,13.96,10.22,-4.16,112.15
"3",2003-01-03,"2003","1",3,17.07,0,17.07,0,25.97,8.47,4.96053327826773,10.34,12.8,7.86,-5.14,123.18
"4",2003-01-04,"2003","1",4,5.6,0,5.6,0,25.13,8.27,4.44467788402803,7.56,9.34,6.05,-3.46,119.77
"5",2003-01-05,"2003","1",5,0,0,0,0,28.1,8.53,5.64694320484606,4.72,5.76,3.03,-2.09,124.6
"6",2003-01-06,"2003","1",6,0,0,0,0,27.7,7.93,9.32780303526177,3.31,4.03,2.44,-1.6,123.25
"7",2003-01-07,"2003","1",7,0,0,0,0,27.47,7.97,4.80049040530297,2.8,3.61,1.14,-0.58,116.97
"8",2003-01-08,"2003","1",8,0,0,0,0,27.27,7.63,9.71317632179561,4.93,5.81,-3.92,2.63,-56.14
"9",2003-01-09,"2003","1",9,0,0,0,0,27.73,7.63,8.5315685360287,2.06,2.7,-1.11,0.89,-51.28
"10",2003-01-10,"2003","1",10,0.07,0,0.07,0,27.83,7.1,8.58451049197125,1.4,2.25,-0.76,0.3,-68.46
"11",2003-01-11,"2003","1",11,9.77,0,9.77,0,27.37,6.67,1.24194400394774,2.65,3.67,0.27,-0.79,161.13
"12",2003-01-12,"2003","1",12,0.28,0,0.28,0,27.77,7.13,5.35836797453346,4.64,5.58,-1.02,0.42,-67.62
"13",2003-01-13,"2003","1",13,6.88,0,6.88,0,27.87,7.37,2.38067738854214,2.71,3.45,1.31,-0.08,93.49
"14",2003-01-14,"2003","1",14,0.13,0,0.13,0,28.2,7.6,8.17724432825728,3.27,4.19,0.96,-1.12,139.4
"15",2003-01-15,"2003","1",15,0.07,0,0.07,0,28.37,7.63,4.52657767165423,3.36,4.1,1.5,-0.3,101.31
"16",2003-01-16,"2003","1",16,0,0,0,0,27.97,7.73,4.44519290320183,1.9,2.44,0.12,0.81,8.43
"17",2003-01-17,"2003","1",17,0.07,0,0.07,0,27.67,7.67,10.6069568101462,3.32,4.07,-2.55,1.92,-53.02
"18",2003-01-18,"2003","1",18,0.12,0,0.12,0,28.17,7.2,8.7253294756538,2.9,3.66,-2.08,1.39,-56.25
"19",2003-01-19,"2003","1",19,0.68,0,0.68,0,28.13,7.43,1.69850339589939,3.45,4.31,2.54,-1.17,114.73
"20",2003-01-20,"2003","1",20,0.6,0,0.6,0,28.33,7.73,5.78131799407737,1.99,2.46,-0.38,0.9,-22.89
"21",2003-01-21,"2003","1",21,16.88,0,16.88,0,28.63,7.67,3.60245149555319,2.33,2.85,-1.24,1.51,-39.39
"22",2003-01-22,"2003","1",22,34.3,0,34.3,0,28.67,7.73,1.04897382513357,5.82,7,4,-3.22,128.83
"23",2003-01-23,"2003","1",23,8.7,0,8.7,0,24.9,8.1,5.61942707002163,8.33,10.16,6.64,-4.18,122.19
"24",2003-01-24,"2003","1",24,0.57,0,0.57,0,27.87,8.33,3.21592448714204,7.55,9.27,6.59,-3.02,114.62
"25",2003-01-25,"2003","1",25,27.98,0,27.98,0,27.1,8.47,1.81375595587866,5.16,6.15,4.46,-2.13,115.53
"26",2003-01-26,"2003","1",26,0.63,0,0.63,0,27.13,8.73,7.92521664383517,7.07,8.97,4.18,-3.77,132.05
"27",2003-01-27,"2003","1",27,0,0,0,0,27.27,8.3,11.9239613278202,3.42,4.24,-0.9,-0.08,-95.08
"28",2003-01-28,"2003","1",28,3.37,0,3.37,0,27.4,8.37,6.82451309915632,3.29,4.02,1.52,-1.59,136.29
"29",2003-01-29,"2003","1",29,7.65,0,7.65,0,28.1,8.37,2.24259162548358,5.66,6.84,5.12,-2.2,113.25
"30",2003-01-30,"2003","1",30,20.5,0,20.5,0,28.3,8.13,0.954554589573668,5.03,6.14,4.16,-2.29,118.83
"31",2003-01-31,"2003","1",31,0.98,0,0.98,0,28.2,8.43,10.0502059231878,9.21,11.43,6.29,-6.19,134.54
"32",2003-02-01,"2003","2",1,1.04,0,1.04,0,27.93,8.4,8.98591663413718,4.23,5.3,2.62,-2.06,128.18
"33",2003-02-02,"2003","2",2,0.42,0,0.42,0,27.6,8.03,6.54830910199648,1.04,1.44,-0.3,0.18,-59.04
"34",2003-02-03,"2003","2",3,0,0,0,0,27.83,7.77,14.87137141808,5.84,7.08,-3.64,3.87,-43.25
"35",2003-02-04,"2003","2",4,0,0,0,0,27.63,7.7,15.1432215521733,3.18,3.93,-1.4,2.21,-32.35
"36",2003-02-05,"2003","2",5,0,0,0,0,27.4,7.47,11.627029455145,3.35,4.2,-1.92,2.16,-41.63
"37",2003-02-06,"2003","2",6,0,0,0,0,27.7,7.53,11.5728001093927,3.08,4.02,-2.54,1.44,-60.45
"38",2003-02-07,"2003","2",7,0,0,0,0,27.77,7.47,8.08465664906139,2.53,3.74,-2.05,1.19,-59.87
"39",2003-02-08,"2003","2",8,0.08,0,0.08,0,27.5,7.17,8.92010750859342,3.04,4.31,-1.96,1.78,-47.76
"40",2003-02-09,"2003","2",9,0.4,0,0.4,0,27.57,7.1,5.88638010738403,2.75,3.35,-1.71,-0.41,-103.48
"41",2003-02-10,"2003","2",10,0.61,0,0.61,0,27.67,7.17,10.4467627136331,1.57,2.32,0.36,0.45,38.66
"42",2003-02-11,"2003","2",11,0,0,0,0,28.03,7.47,17.598528817062,4,5,-2.28,2.68,-40.39
"43",2003-02-12,"2003","2",12,0,0,0,0,27.1,7.27,14.9064147472382,2.8,3.53,-2.22,1.24,-60.81
"44",2003-02-13,"2003","2",13,0.21,0,0.21,0,27.4,7.3,17.8027405122339,3,3.84,-2.11,1.17,-60.99
"45",2003-02-14,"2003","2",14,2.09,0,2.09,0,28,7.97,8.49071152942387,4.88,5.88,3.79,-2.27,120.92
"46",2003-02-15,"2003","2",15,3.33,0,3.33,0,27.73,8,10.3638962880167,6.69,8.09,4.48,-4.25,133.49
"47",2003-02-16,"2003","2",16,2.28,0,2.28,0,28.43,8.13,11.6228334346577,6.04,7.29,4.39,-3.45,128.16
"48",2003-02-17,"2003","2",17,0.62,0,0.62,0,28.3,8.6,18.931783732615,2.7,3.42,1.05,0.02,88.91
"49",2003-02-18,"2003","2",18,3.76,0,3.76,0,28.27,8,8.13211810681969,3.43,4.18,0.38,0.39,44.26
"50",2003-02-19,"2003","2",19,2.31,0,2.31,0,27.87,8.03,7.22081478896894,7.76,9.23,6.76,-2.81,112.57
"51",2003-02-20,"2003","2",20,2.34,0,2.34,0,28.23,8.27,7.68382055700446,7.28,8.96,5.8,-2.96,117.04
"52",2003-02-21,"2003","2",21,0.48,0,0.48,0,28.4,8.13,11.7762245520082,3.08,3.74,1.81,0.12,86.21
"53",2003-02-22,"2003","2",22,0.22,0,0.22,0,28.9,7.93,22.5514016389221,7.47,9.04,-5.22,4.78,-47.52
"54",2003-02-23,"2003","2",23,0,0,0,0,27.73,7.57,22.9930807665775,3.95,5.1,-1.02,0.67,-56.7
"55",2003-02-24,"2003","2",24,0,0,0,0,28.17,7.7,23.4698974013959,2.88,3.7,-1.38,1.9,-35.99
"56",2003-02-25,"2003","2",25,0,0,0,0,28.13,7.4,21.4536392957833,1.86,2.59,-0.4,0.62,-32.83
"57",2003-02-26,"2003","2",26,0,0,0,0,28.17,7.53,22.9650126229434,2.51,3.22,-1.32,1.25,-46.56
"58",2003-02-27,"2003","2",27,2.02,0,2.02,0,28.3,7.83,24.3732058522595,2.41,3,-1.07,0.98,-47.51
"59",2003-02-28,"2003","2",28,0.22,0,0.22,0,28.13,7.77,10.5929307418233,3.1,3.86,2.36,-0.85,109.81
"60",2003-03-01,"2003","3",1,1.74,0,1.74,0,28.5,7.9,19.1237396831912,1.95,2.75,-0.84,0.79,-46.76
"61",2003-03-02,"2003","3",2,1.12,0,1.12,0,28.43,7.9,10.0400619894814,1.46,1.98,-0.86,0.45,-62.38
"62",2003-03-03,"2003","3",3,0,0,0,0,28.33,7.93,26.5951359465992,4.3,5.2,-2.88,2.63,-47.6
"63",2003-03-04,"2003","3",4,0.64,0,0.64,0,28.3,7.93,14.8290646925022,2.38,3.09,-0.5,1.08,-24.84
"64",2003-03-05,"2003","3",5,0.98,0,0.98,0,28.17,7.87,16.177440226078,2.27,2.94,-0.32,0.12,-69.44
"65",2003-03-06,"2003","3",6,0.4,1.18,1.57,0,28.23,7.73,20.7589595065067,4.03,5.16,-1.88,2.18,-40.77
"66",2003-03-07,"2003","3",7,0.3,0.08,0.38,0,28.3,7.4,18.9074495883751,5.79,7.55,-2.35,3.4,-34.65
"67",2003-03-08,"2003","3",8,2.38,9.51,11.89,0,28.5,7.33,14.9587450213247,4.6,6.28,-2.63,2.9,-42.2
"68",2003-03-09,"2003","3",9,4.62,0,4.62,0,28.13,6.73,4.8959698296474,3.2,4.46,2.04,-0.36,100.01
"69",2003-03-10,"2003","3",10,0.64,0,0.64,0,28.5,7.77,17.5581955384082,5.19,6.29,1.79,-0.32,100.14
"70",2003-03-11,"2003","3",11,5.25,0,5.25,0,28.4,7.67,8.49277764636809,3.48,4.33,1.5,-0.59,111.47
"71",2003-03-12,"2003","3",12,50.27,0,50.27,0,28.43,7.63,3.32877924440719,7.95,9.96,6.72,-3.21,115.53
"72",2003-03-13,"2003","3",13,25.8,0,25.8,0,27.55,8.05,18.1036855569061,10.99,13.42,8.64,-6.18,125.58
"73",2003-03-14,"2003","3",14,9.79,0,9.79,0,26.7,8.7,17.8110931711222,9.05,10.95,6.87,-5.34,127.86
"74",2003-03-15,"2003","3",15,6.41,0,6.41,0,25.4,8.9,13.1268450453257,10.19,12.59,7.58,-5.57,126.31
"75",2003-03-16,"2003","3",16,2.05,0,2.05,0,26.8,8.83,12.2860548243711,7.1,8.62,4.94,-4.4,131.69
"76",2003-03-17,"2003","3",17,4.4,0,4.4,0,27.43,8.77,24.6070323805896,6.11,7.49,3.58,-3.94,137.74
"77",2003-03-18,"2003","3",18,3.88,0,3.88,0,27.73,8.73,20.5775042103103,9.79,11.87,7.8,-5.32,124.3
"78",2003-03-19,"2003","3",19,14.25,0,14.25,0,27.33,8.53,5.55931598260141,8.39,10.11,6.82,-3.6,117.83
"79",2003-03-20,"2003","3",20,4.16,0,4.16,0,27.53,8.6,20.7678847112681,7.61,9.18,5.23,-4.16,128.5
"80",2003-03-21,"2003","3",21,23.95,0,23.95,0,27.87,8.57,14.7690845734195,9.16,11.19,5.65,-6.46,138.83
"81",2003-03-22,"2003","3",22,4.78,0,4.78,0,26.7,8.63,27.6494349334877,8.66,10.86,4.81,-4.93,135.71
"82",2003-03-23,"2003","3",23,0.05,0,0.05,0,27.8,8.07,32.0753233741015,6.22,7.74,-2.61,0.89,-71.17
"83",2003-03-24,"2003","3",24,2.7,0,2.7,0,25.97,7.63,17.3404618703977,5.7,6.89,0.35,-0.2,119.74
"84",2003-03-25,"2003","3",25,5.2,0,5.2,0,27.97,8.2,29.8089785613217,6.82,8.46,5.37,-3.01,119.27
"85",2003-03-26,"2003","3",26,2.76,0,2.76,0,28,8.63,34.7617675238081,5.08,6.31,3.54,-1.97,119.1
"86",2003-03-27,"2003","3",27,0.25,0,0.25,0,28.37,8.63,34.6811574157916,5.5,6.66,4.01,-2.39,120.8
"87",2003-03-28,"2003","3",28,0.85,0,0.85,0,28.27,8.83,21.3501961950868,3.95,4.66,2.7,-2.2,129.17
"88",2003-03-29,"2003","3",29,3.98,0,3.98,0,28.07,8.93,13.9580570493693,4.87,5.89,4.18,-1.5,109.74
"89",2003-03-30,"2003","3",30,4.04,0,4.04,0,28.47,8.7,6.57162075735512,6.04,7.42,4.72,-3.28,124.8
