"","Year","epiweek","Outbreak","rain11","salinity9","temperature1","temperature6","par6","wspd7","wdir6","wdir7","NVcount"
"1",2003,12,0,23.76,28,7.92,7.59,10.97,"5.42","-47.11","128.4","5"
"2",2003,13,0,1.41,27.66,8.67,7.47,12.21,"3.15","168.69","-47.11","11"
"3",2003,14,0,1.08,27.76,8.42,8.16,12.56,"3.67","104.66","168.69","7"
"4",2003,15,0,12.82,27.63,8.58,7.67,20.71,"5.39","-34.03","104.66","2"
"5",2003,16,0,4.88,27.64,8.47,7.73,17.47,"2.67","-41.85","-34.03","6"
"6",2003,17,0,0.07,28.34,9.06,7.92,11.9,"3.55","121.53","-41.85","3"
"7",2003,18,0,0.95,28.16,9.59,8.67,18.03,"7.15","130.19999999999999","121.53","12"
"8",2003,19,0,1.72,28.32,12.23,8.42,26.28,"8.1199999999999992","120.53","130.19999999999999","6"
"9",2003,20,0,0.57,27.59,11.87,8.58,24.26,"5.45","115.97","120.53","4"
"10",2003,21,0,0.83,27.34,12.7,8.47,22.72,"5.36","125.66","115.97","6"
"11",2003,22,0,14.68,27.78,12.03,9.06,25.31,"6.96","120","125.66","7"
"12",2003,23,0,8.21,28.71,13.53,9.59,33.5,"5.56","137.49","120","0"
"13",2003,24,0,2.26,26.78,14.47,12.23,46.67,"5.04","91.85","137.49","1"
"14",2003,25,0,3.15,26.99,15.53,11.87,47.17,"3.7","-49.17","91.85","3"
"15",2003,26,0,8.52,27.45,15.1,12.7,41.73,"4.2699999999999996","-46.51","-49.17","3"
"16",2003,27,0,3.25,27.6,17.82,12.03,31.45,"4.2300000000000004","127.26","-46.51","1"
"17",2003,28,0,2.95,26.69,17.66,13.53,47.53,"4.3600000000000003","163.30000000000001","127.26","1"
"18",2003,29,0,0.29,27.09,18.47,14.47,57.56,"4.53","-55.3","163.30000000000001","1"
"19",2003,30,0,1.29,26.36,15.56,15.53,47.27,"5.82","129.81","-55.3","0"
"20",2003,31,0,1.26,25.92,19.78,15.1,52.6,"5.93","-50.56","129.81","0"
"21",2003,32,0,2.6,26.82,19.51,17.82,58.29,"3.74","-56.78","-50.56","0"
"22",2003,33,0,0.29,27.98,18.17,17.66,48.52,"3.73","-48.75","-56.78","1"
"23",2003,34,0,0.11,26.75,18.9,18.47,47.29,"4.0599999999999996","104.04","-48.75","1"
"24",2003,35,0,0.54,24.98,18.64,15.56,43.86,"4.04","129.18","104.04","1"
"25",2003,36,0,0.47,25.88,18.23,19.78,54.44,"4.6900000000000004","-40.14","129.18","0"
"26",2003,37,0,0.02,25.97,18.16,19.51,56.79,"4.5999999999999996","-52.72","-40.14","1"
"27",2003,38,0,1.19,26.96,15.79,18.17,47.87,"5.4","80.540000000000006","-52.72","0"
"28",2003,39,0,0.51,24.52,14.43,18.9,41.7,"3.75","-66.040000000000006","80.540000000000006","0"
"29",2003,40,0,1.24,26.27,15.49,18.64,47.36,"3.97","-51.23","-66.040000000000006","0"
"30",2003,41,0,0,27.55,14.86,18.23,36.06,"4.3099999999999996","-49.71","-51.23","1"
"31",2003,42,0,0,25.37,12.36,18.16,37.05,"3.31","-52.49","-49.71","0"
"32",2003,43,0,0.23,27.09,10.88,15.79,31.18,"5.17","103.28","-52.49","0"
"33",2003,44,0,0.51,27.39,11.5,14.43,28.24,"4.53","75.12","103.28","0"
"34",2003,45,0,0,27.41,10.68,15.49,26.98,"5.46","-57.17","75.12","0"
"35",2003,46,0,0.24,28.27,9.63,14.86,27.01,"3.35","-71.77","-57.17","2"
"36",2003,47,0,1.62,28.05,8.93,12.36,13.38,"2.69","129.99","-71.77","1"
"37",2003,48,0,1.04,28.34,8.91,10.88,8.82,"7.03","108.4","129.99","0"
"38",2003,49,0,1.78,27.93,8.25,11.5,11.95,"7.85","115.05","108.4","0"
"39",2003,50,0,0.01,28.74,8.34,10.68,14.09,"4.43","-31.37","115.05","3"
"40",2003,51,0,0.02,27.73,7.87,9.63,16.19,"4.7","-46.77","-31.37","1"
"41",2003,52,0,10.73,24.98,7.87,8.93,7.34,"3.36","73.3","-46.77","1"
"42",2003,53,0,21.62,24.87,7.98,8.91,5.95,"4.26","94.51","73.3","1"
"43",2004,1,1,6.74,26.44,7.22,8.25,5.65,"5.57","111.83","94.51","1"
"44",2004,2,1,0.23,26.92,6.53,8.34,5.07,"7.61","122.32","111.83","0"
"45",2004,3,1,0.07,27.69,7.64,7.87,4.72,"6.99","112.45","122.32","0"
"46",2004,4,1,2.78,27.36,7.49,7.87,3.55,"4.8","125.85","112.45","3"
"47",2004,5,1,7.75,27.24,7.04,7.98,4.03,"6.3","126.7","125.85","3"
"48",2004,6,1,6.54,27.11,7.06,7.22,4.73,"7.14","66","126.7","1"
"49",2004,7,1,7.94,27.14,6.69,6.53,3.94,"6.31","NA","66","2"
"50",2004,8,1,4.5,27.99,7.94,7.64,3.61,"NA","NA","NA","1"
"51",2004,9,0.29,8.67,28.35,7.8,7.49,4.02,"NA","34.880000000000003","NA","2"
