,Year,epiweek,Total_Rain,Total_Precip,Total_Snow,Outbreak,Salinity,Temperature,PAR,outbreak,WSPD,GSPD,V_east,V_north,WDIR,NVcount
1,2003,1,23.76,23.76,0,0,26.28,8.12,4.08,0,10.27,12.65,8.76,-4.19,115.56,5
2,2003,2,1.41,1.41,0,0,27.64,7.64,6.84,0,3.12,3.98,0.16,-0.18,138.37,11
3,2003,3,1.08,1.08,0,0,28,7.48,6.32,0,3.16,3.93,-0.25,0.43,-30.17,7
4,2003,4,12.82,12.82,0,0,27.66,7.92,3.25,0,4.95,6.03,3.23,-1.62,116.64,2
5,2003,5,4.88,4.88,0,0,27.76,8.39,6.99,0,5.42,6.71,3.28,-2.6,128.4,6
6,2003,6,0.07,0.07,0,0,27.63,7.59,10.97,0,3.15,4.1,-1.97,1.83,-47.11,3
7,2003,7,0.95,0.95,0,0,27.64,7.47,12.21,0,3.67,4.57,0.04,-0.2,168.69,12
8,2003,8,1.72,1.72,0,0,28.34,8.16,12.56,0,5.39,6.55,2.14,-0.56,104.66,6
9,2003,9,0.57,0.57,0,0,28.16,7.67,20.71,0,2.67,3.46,-0.52,0.77,-34.03,4
10,2003,10,0.83,2.37,1.54,0,28.32,7.73,17.47,0,3.55,4.6,-1.63,1.82,-41.85,6
11,2003,11,14.68,14.68,0,0,27.59,7.92,11.9,0,7.15,8.86,5.02,-3.08,121.53,7
12,2003,12,8.21,8.21,0,0,27.34,8.67,18.03,0,8.12,9.9,5.55,-4.69,130.2,0
13,2003,13,2.26,2.26,0,0,27.78,8.42,26.28,0,5.45,6.66,2.51,-1.48,120.53,1
14,2003,14,3.15,3.15,0,0,28.71,8.58,24.26,0,5.36,6.67,2.32,-1.13,115.97,3
15,2003,15,8.52,8.52,0,0,26.78,8.47,22.72,0,6.96,8.5,4.07,-2.92,125.66,3
16,2003,16,3.25,3.25,0,0,26.99,9.06,25.31,0,5.56,6.72,3.36,-1.94,120,1
17,2003,17,2.95,2.95,0,0,27.45,9.59,33.5,0,5.04,6.07,0.11,-0.12,137.49,1
18,2003,18,0.29,0.29,0,0,27.6,12.23,46.67,0,3.7,4.46,0.31,-0.01,91.85,1
19,2003,19,1.29,1.29,0,0,26.69,11.87,47.17,0,4.27,5.21,-1.03,0.89,-49.17,0
20,2003,20,1.26,1.26,0,0,27.09,12.7,41.73,0,4.23,5.34,-0.39,0.37,-46.51,0
21,2003,21,2.6,2.6,0,0,26.36,12.03,31.45,0,4.36,5.28,2.09,-1.59,127.26,0
22,2003,22,0.29,0.29,0,0,25.92,13.53,47.53,0,4.53,5.51,0.15,-0.5,163.3,1
23,2003,23,0.11,0.11,0,0,26.82,14.47,57.56,0,5.82,6.83,-3.61,2.5,-55.3,1
24,2003,24,0.54,0.54,0,0,27.98,15.53,47.27,0,5.93,7.12,1.32,-1.1,129.81,1
25,2003,25,0.47,0.47,0,0,26.75,15.1,52.6,0,3.74,4.58,-1.24,1.02,-50.56,0
26,2003,26,0.02,0.02,0,0,24.98,17.82,58.29,0,3.73,4.51,-1.13,0.74,-56.78,1
27,2003,27,1.19,1.19,0,0,25.88,17.66,48.52,0,4.06,4.98,-1.22,1.07,-48.75,0
28,2003,28,0.51,0.51,0,0,25.97,18.47,47.29,0,4.04,4.87,0.68,-0.17,104.04,0
29,2003,29,1.24,1.24,0,0,26.96,15.56,43.86,0,4.69,5.65,1.19,-0.97,129.18,0
30,2003,30,0,0,0,0,24.52,19.78,54.44,0,4.6,5.45,-1.72,2.04,-40.14,1
31,2003,31,0,0,0,0,26.27,19.51,56.79,0,5.4,6.35,-2.89,2.2,-52.72,0
32,2003,32,0.23,0.23,0,0,27.55,18.17,47.87,0,3.75,4.52,0.06,0.01,80.54,0
33,2003,33,0.51,0.51,0,0,25.37,18.9,41.7,0,3.97,4.83,-0.81,0.36,-66.04,0
34,2003,34,0,0,0,0,27.09,18.64,47.36,0,4.31,5.22,-1.98,1.59,-51.23,0
35,2003,35,0.24,0.24,0,0,27.39,18.23,36.06,0,3.31,4.02,-1.05,0.89,-49.71,2
36,2003,36,1.62,1.62,0,0,27.41,18.16,37.05,0,5.17,6.15,-2.54,1.95,-52.49,1
37,2003,37,1.04,1.04,0,0,28.27,15.79,31.18,0,4.53,5.51,0.72,-0.17,103.28,0
38,2003,38,1.78,1.78,0,0,28.05,14.43,28.24,0,5.46,6.64,0.64,0.17,75.12,0
39,2003,39,0.01,0.01,0,0,28.34,15.49,26.98,0,3.35,4.04,-2.48,1.6,-57.17,3
40,2003,40,0.02,0.02,0,0,27.93,14.86,27.01,0,2.69,3.32,-0.82,0.27,-71.77,1
41,2003,41,10.73,10.73,0,0,28.74,12.36,13.38,0,7.03,8.54,4.84,-4.06,129.99,1
42,2003,42,21.62,21.62,0,0,27.73,10.88,8.82,0,7.85,9.47,4.48,-1.49,108.4,1
43,2003,43,6.74,6.74,0,0,24.98,11.5,11.95,0,4.43,5.47,1.69,-0.79,115.05,1
44,2003,44,0.23,0.23,0,0,24.87,10.68,14.09,0,4.7,5.95,-1.25,2.05,-31.37,0
45,2003,45,0.07,0.07,0,0,26.44,9.63,16.19,0,3.36,4.2,-1.83,1.72,-46.77,0
46,2003,46,2.78,2.78,0,0,26.92,8.93,7.34,0,4.26,5.19,0.4,0.12,73.3,3
47,2003,47,7.75,7.99,0.25,0,27.69,8.91,5.95,0,5.57,7.07,0.76,-0.06,94.51,3
48,2003,48,6.54,6.54,0,0,27.36,8.25,5.65,0,7.61,9.39,3.52,-1.41,111.83,1
49,2003,49,7.94,7.94,0,0,27.24,8.34,5.07,0,6.99,8.69,2.75,-1.74,122.32,2
50,2003,50,4.5,4.5,0,0,27.11,7.87,4.72,0,4.8,5.96,2.71,-1.12,112.45,1
51,2003,51,8.67,8.67,0,0,27.14,7.87,3.55,0,6.3,7.81,4.18,-3.02,125.85,2
52,2003,52,4.43,4.63,0.2,0,27.99,7.98,4.03,0,7.14,8.78,4.28,-3.19,126.7,2
53,2003,53,1.91,3.94,2.03,0,28.35,7.22,4.73,0,6.31,7.94,1.46,0.65,66,4
54,2004,1,5.71,8.42,2.7,1,27.76,6.53,3.94,1,NA,NA,NA,NA,NA,2
55,2004,2,5.35,5.35,0,1,26.34,7.64,3.61,1,NA,NA,NA,NA,NA,3
56,2004,3,3.28,3.33,0.04,1,26.97,7.49,4.02,1,4.07,4.94,0.23,0.33,34.88,4
57,2004,4,7.97,8.68,0.71,1,27.65,7.04,5.14,1,5.78,7.07,1.46,0.65,66,2
58,2004,5,4.16,4.16,0,1,27.48,7.06,8.36,1,5.48,6.76,1.71,-0.64,110.52,1
59,2004,6,1.34,1.34,0,1,26.91,6.69,11.64,1,2.85,3.6,-0.38,0.33,-49.03,6
60,2004,7,3.91,3.91,0,1,27.59,7.94,12.04,1,4.47,5.55,2.05,-0.94,114.63,6
61,2004,8,2.76,2.76,0,1,26.93,7.8,12.88,1,3.35,4.22,0.65,-0.53,129.19,8
62,2004,9,3.76,3.76,0,0.29,27.42,7.99,19.19,0.29,5.95,7.21,0.08,0.3,14.93,4
63,2004,10,0.88,0.88,0,0,27.98,8.11,23.27,0,5.15,6.29,-0.3,0.97,-17.19,3
64,2004,11,1.81,1.81,0,0,28.36,8.59,20.53,0,4.8,5.95,1.42,-1.29,132.25,4
65,2004,12,5.29,5.29,0,0,27.92,8.66,19.65,0,5.65,6.92,3.1,-1.95,122.17,6
66,2004,13,0.36,0.36,0,0,27.88,9.55,33.76,0,3.69,4.52,-0.35,0.16,-65.43,6
67,2004,14,0.14,0.14,0,0,27.93,10.46,41.34,0,3.72,4.43,-1.89,1.02,-61.65,1
68,2004,15,2.77,2.77,0,0,27.88,11.01,34.3,0,3.77,4.58,1.67,-1.33,128.53,2
69,2004,16,1.7,1.7,0,0,27.66,10.88,41.72,0,5.85,7.09,1.43,-1.48,135.98,4
70,2004,17,0.36,0.36,0,0,27.4,13.09,45.54,0,4.01,4.86,-2.3,1.95,-49.71,4
71,2004,18,0.79,0.79,0,0,27.91,12.88,40.15,0,3.57,4.37,0.48,-0.65,143.56,3
72,2004,19,0.25,0.25,0,0,27.6,13.49,54.19,0,4.14,5,-0.56,0.51,-47.68,4
73,2004,20,1.37,1.37,0,0,27.9,15.53,52.5,0,4.61,5.56,0.27,0.3,41.99,2
74,2004,21,2.48,2.48,0,0,27.89,14.86,39.4,0,4.38,5.39,0.68,-0.37,118.55,3
75,2004,22,1.1,1.1,0,0,26.64,15.24,48.3,0,4.96,6.01,0.82,-0.94,138.9,3
76,2004,23,2.23,2.23,0,0,25.43,15.46,48.16,0,5.44,6.54,0.45,0.03,86.19,3
77,2004,24,0.2,0.2,0,0,25.19,17.4,58.02,0,4.44,5.4,-1.45,0.42,-73.85,2
78,2004,25,0,0,0,0,24.88,17.84,55.85,0,3.8,4.53,1.86,-1.83,134.53,1
79,2004,26,0.38,0.38,0,0,25.22,17.95,58.02,0,4.86,5.82,-0.84,0.5,-59.24,3
80,2004,27,1.98,1.98,0,0,26.85,16.92,46.85,0,4.59,5.58,-0.44,0.92,-25.56,2
81,2004,28,0.03,0.03,0,0,26.33,19.01,52.31,0,3.65,4.4,-0.34,-0.06,-100.01,2
82,2004,29,0.36,0.36,0,0,25.84,18.45,54.42,0,5.21,6.22,-0.46,0.22,-64.44,1
83,2004,30,0,0,0,0,26.21,19.95,56.44,0,6.67,7.86,-4.17,3.94,-46.62,1
84,2004,31,3.76,3.76,0,0,27.01,17.8,43.11,0,4.11,4.94,0,0.2,0,2
85,2004,32,0,0,0,0,26.59,20.11,52.06,0,3.72,4.42,-2.22,1.71,-52.39,0
86,2004,33,2.88,2.88,0,0,26.71,19.21,42.01,0,3.86,4.63,0.08,-0.17,154.8,0
87,2004,34,3.88,3.88,0,0,27.62,17.83,27.8,0,4.51,5.44,2.1,-1.88,131.84,0
88,2004,35,1.06,1.06,0,0,26.6,15.93,30.59,0,4.6,5.59,0.77,-0.63,129.29,1
89,2004,36,4.89,4.89,0,0,26.31,16.44,29.52,0,4.79,5.82,0.93,-0.65,124.95,1
90,2004,37,10.25,10.25,0,0,27.65,14.31,22.93,0,5.01,6.13,1.13,-0.69,121.41,3
91,2004,38,0.77,0.77,0,0,26.17,14.5,24.4,0,3.89,4.74,0.54,-0.23,113.07,1
92,2004,39,0,0,0,0,25.98,14.87,30.82,0,5.21,6.19,-3.66,2.81,-52.48,1
93,2004,40,4.57,4.57,0,0,27.98,13.27,14,0,5.25,6.38,3.25,-2.55,128.12,1
